asset,playbook,horizon,direction,entry,opened_i,closed_i,closed_ts,bars,unit,pnl,r,reason,z,risk_frac,mfe_r
HYPE,P1,swing,1,43.651379,616,621,2026-04-14 12:00:00+00:00,5,1,-27.53968802108102,-0.0703433092288208,stop,0.7765196613872197,0.00375,1.0449525946205402
ETH,P1,swing,1,2441.13813,639,644,2026-04-18 08:00:00+00:00,5,1,-787.6299867814159,-1.0428331450021169,stop,0.8375309377578148,0.0075,0.3544900679916001
HYPE,P4,day,1,40.36045,720,738,2026-05-04 00:00:00+00:00,18,1,134.82126554993874,1.158626601179037,max_hold,0.7642527527643632,0.001125,1.4130998126807075
ETH,P1,swing,1,2410.2619560000003,752,753,2026-05-06 12:00:00+00:00,1,1,-797.3353808417742,-1.057418061249205,stop,0.7322758249641327,0.0075,0.0
SOL,P1,swing,1,89.854905,752,753,2026-05-06 12:00:00+00:00,1,1,-659.0583603365812,-1.075213148209567,stop,0.8089344262295078,0.006,0.0
HYPE,P1,swing,1,43.87571500000001,746,756,2026-05-07 00:00:00+00:00,10,1,-429.23087152655535,-1.089373782533572,stop,0.93150719879964,0.0037500000000000003,0.7535107595819381
HYPE,P4,day,1,42.88423,776,782,2026-05-11 08:00:00+00:00,6,1,-102.4436611490164,-1.0718895752095698,stop,0.5831372268328168,0.0009375,0.5486040466026958
ETH,P1,swing,-1,2260.7277639999998,789,793,2026-05-13 04:00:00+00:00,4,1,-393.23510612047176,-1.0648433527546444,stop,0.6977003045775043,0.00375,0.135179707331186
BTC,P4,day,-1,81136.66941999999,782,800,2026-05-14 08:00:00+00:00,18,1,217.4358314024612,1.1789436335403445,max_hold,0.6956333971302018,0.001875,1.5682378739217706
BTC,P4,day,-1,76946.80756,827,845,2026-05-21 20:00:00+00:00,18,1,-104.90629324935253,-0.4530228766271314,max_hold,0.6469834295897229,0.0023437499999999995,0.51630216462342
BTC,P1,swing,-1,75815.23392,850,856,2026-05-23 16:00:00+00:00,6,1,-29.384387964819325,-0.0786987967962427,stop,0.7860972323453337,0.0037500000000000003,1.39710679150101
ETH,P1,swing,-1,2221.2256660000003,807,857,2026-05-23 20:00:00+00:00,50,1,878.4863388139802,2.3889946780353233,stop,0.7368337021090117,0.00375,4.455032822980762
SOL,P4,day,1,84.95245499999999,856,874,2026-05-26 16:00:00+00:00,18,1,-40.860265064149644,-0.4560346957641094,max_hold,0.8095643863820063,0.0009,0.848861374495463
ETH,P1,swing,-1,1980.473826,882,890,2026-05-29 08:00:00+00:00,8,1,-414.7158988958945,-0.5604562200673296,time_stop,0.7229442336412495,0.0075,0.2860277003640507
SOL,P1,swing,-1,79.530215,909,911,2026-06-01 20:00:00+00:00,2,1,-318.15292882993526,-1.0647600097409091,stop,0.8873195683738788,0.0030000000000000005,0.25127388762448666
BTC,P1,swing,-1,71093.7784,909,915,2026-06-02 12:00:00+00:00,6,1,1228.0405462626113,3.3168379725793593,regime,0.8720669544167632,0.00375,3.5912905034233575
ETH,P1,swing,1,1724.94492,989,993,2026-06-15 12:00:00+00:00,4,1,2298.135851103354,3.0857579456412063,regime,0.7715196474600023,0.007499999999999999,3.248118387944492
BTC,P4,day,1,65710.83954,989,1006,2026-06-17 16:00:00+00:00,17,1,-234.52729426985934,-1.0502778392128544,stop,0.8342619881988677,0.00225,1.0170537768590702
ETH,P1,swing,-1,1659.6580020000001,1040,1051,2026-06-25 04:00:00+00:00,11,1,-33.83231868872099,-0.04456615703294915,stop,0.6859899946883001,0.007499999999999999,2.4261106337802567
ETH,P4,day,-1,1760.44784,1110,1111,2026-07-05 04:00:00+00:00,1,1,-89.51267447724422,-0.18896545326293537,regime,0.6143020122013331,0.0046875,0.02136262533371711
ETH,P4,day,-1,1768.836162,1111,1112,2026-07-05 08:00:00+00:00,1,1,63.162926223056274,0.1334225970995221,regime,0.5836185820212544,0.004687499999999999,0.38898787938380125
